No,자료유형,등록번호,자료명,저자,출판사,출판년도,청구기호,자료상태,소장처
1,단행본,0000023712,(교사를 위한)패들렛,안익재 지음,앤써북,2025,373.33 안68ㅍ,대출가능,교사연구실
2,단행본,0000023711,열두 달 그림책 토론,"이영근,김정순,오중린,유준희,이세영,조예지,최보영,최정현 지음",창비교육,2023,029.8 이64ㅇ,대출가능,입실초등학교
3,단행본,0000023710,(읽다 보면 문해력이 저절로)그래서 이런 말이 생겼대요,우리누리 글;송진욱 그림,길벗스쿨,2023,710 우298ㄱ,대출가능,6학년2반
4,단행본,0000023709,(읽다 보면 문해력이 저절로)그래서 이런 관용어가 생겼대요,우리누리 글;송진욱 그림,길벗스쿨,2023,714.4 우298ㄱ,대출가능,6학년2반
5,단행본,0000023708,(읽다 보면 문해력이 저절로)그래서 이런 한자어가 생겼대요,우리누리 글;신동민 그림,길벗스쿨,2023,711.4 우298ㄱ,대출가능,6학년2반
6,단행본,0000023707,(읽다 보면 문해력이 저절로)그래서 이런 속담이 생겼대요,우리누리 글;이창우 그림,길벗스쿨,2024,388.6 우298ㄱ c.3,대출가능,6학년2반
7,단행본,0000023706,커서 AI,서승완(유메타랩 대표) 지음,스마트북스,2025,331.5412 서57ㅋ,대출가능,교사연구실
8,단행본,0000023705,토론이 좋아요,"김정순,이영근 [공]지음;조하나 그림",에듀니티,2017,802 김74ㅌ,대출가능,입실초등학교
9,단행본,0000023704,무궁화꽃이 피었습니다,천미진 글;강은옥 그림,키즈엠,2019,813.8 천38ㅁ c.3,대출가능,입실초등학교
10,단행본,0000023703,오늘은 나도 슈퍼 영웅!,스테파니 클락슨 글;그웬 밀워드 그림;고영이 옮김,사파리,2022,843 클292ㅇ c.3,대출가능,입실초등학교
11,단행본,0000023702,오늘은 나도 슈퍼 영웅!,스테파니 클락슨 글;그웬 밀워드 그림;고영이 옮김,사파리,2022,843 클292ㅇ c.2,대출가능,입실초등학교
12,단행본,0000023701,플라스틱 섬,이명애 글·그림,사계절,2025,813.8 이34ㅍ,대출가능,입실초등학교
13,단행본,0000023700,엄마를 화나게 하는 10가지 방법,실비 드 마튀이시왹스 글;세바스티앙 디올로장 그림;이정주 옮김,어린이작가정신,2016,863 마886ㅇ,대출가능,입실초등학교
14,단행본,0000023699,지각,허정윤 글;이영애 그림,위즈덤하우스,2022,813.8 허74ㅈ,대출가능,입실초등학교
15,단행본,0000023698,내 탓이 아니야,레이프 크리스티안손 글;딕 스텐베리 그림;김상열 옮김,고래이야기,2023,859.7 크298ㄴ,대출가능,입실초등학교
16,단행본,0000023697,두근두근 편의점,김영진 지음,책읽는곰,2022,813.8 김64ㄷ c.2,대출가능,입실초등학교
17,단행본,0000023696,나는 개다,백희나 글·그림,스토리보울,2024,813.8 백97ㄴ,대출가능,입실초등학교
18,단행본,0000023695,고민 식당,이주희 글·그림,한림,2019,813.8 이76ㄱ,대출가능,입실초등학교
19,단행본,0000023694,기린은 너무해,조리 존 글;레인 스미스 그림;김경연 옮김,미디어창비,2019,843 존75ㄱ c.3,대출가능,입실초등학교
20,단행본,0000023693,남의 말을 듣는 건 어려워,마수드 가레바기 글·그림;이정은 옮김,풀빛,2024,892.67 가294ㄴ,대출가능,입실초등학교
21,단행본,0000023692,(몰리 선생님의)친절한 예절 학교,제임스 맥클레인 글;로지 리브 그림;조남주 옮김,UsborneKorea,2021,843 맥877ㅊ,대출가능,입실초등학교
22,단행본,0000023691,그 소문 들었어?,하야시 기린 지음;쇼노 나오코 그림;김소연 옮김,천개의바람,2017,833.8 하63ㄱ c.2,대출가능,입실초등학교
